,model1_fc1,model1_fc2
133,42473.890625,916.454833984375
134,42483.0703125,916.8397216796875
135,42497.1015625,917.4891357421875
136,42507.921875,918.11474609375
137,42586.69921875,921.876708984375
138,42586.69921875,921.876708984375
139,42591.76171875,922.1415405273438
140,42597.984375,922.4742431640625
141,42608.3515625,922.974609375
142,42620.5390625,923.5885009765625
143,42691.4765625,927.1929321289062
144,42691.4765625,927.1929321289062
145,42696.5234375,927.4203491210938
146,42702.9609375,927.6796264648438
147,42713.234375,928.2030029296875
148,42722.5859375,928.7394409179688
149,42792.359375,932.3596801757812
150,42792.359375,932.3596801757812
151,42797.00390625,932.608154296875
152,42803.0859375,932.9468994140625
153,42814.2265625,933.4988403320312
154,42825.35546875,934.116455078125
155,42894.39453125,937.5799560546875
156,42894.39453125,937.5799560546875
157,42900.0390625,937.8258666992188
158,42907.4140625,938.1828002929688
159,42918.02734375,938.7142333984375
160,42928.5703125,939.3106079101562
161,42998.89453125,942.9706420898438
162,42998.89453125,942.9706420898438
163,43003.640625,943.243896484375
164,43009.0859375,943.5894775390625
165,43020.28125,944.128662109375
166,43031.8671875,944.6571044921875
167,43103.6796875,948.4014892578125
168,43103.6796875,948.4014892578125
169,43108.68359375,948.6392822265625
170,43115.3671875,948.9461669921875
171,43124.90625,949.4983520507812
172,43136.0546875,950.088623046875
173,43213.0390625,954.0897216796875
174,43213.0390625,954.0897216796875
175,43219.203125,954.366943359375
176,43227.1953125,954.7702026367188
177,43238.4140625,955.3988037109375
178,43249.81640625,956.0150146484375
179,43325.3984375,959.8529052734375
180,43325.3984375,959.8529052734375
181,43330.3515625,960.097412109375
182,43337.0,960.4542846679688
183,43348.8359375,961.0765380859375
184,43359.99609375,961.74658203125
185,43440.578125,965.9754638671875
186,43440.578125,965.9754638671875
187,43445.5234375,966.2491455078125
188,43451.50390625,966.5746459960938
189,43462.5,967.180419921875
190,43475.578125,967.7393798828125
191,43557.171875,972.08154296875
192,43557.171875,972.08154296875
193,43562.78125,972.3585205078125
194,43570.34375,972.7716064453125
195,43581.87890625,973.39892578125
196,43594.1328125,974.0294799804688
197,43677.82421875,978.3499755859375
198,43677.82421875,978.3499755859375
199,43683.0234375,978.6480712890625
200,43691.65625,979.047607421875
201,43703.05078125,979.644287109375
202,43714.15234375,980.3048095703125
203,43800.734375,984.80859375
204,43800.734375,984.80859375
205,43805.83203125,985.1090087890625
206,43812.5703125,985.4868774414062
207,43824.82421875,986.1416015625
208,43837.9453125,986.7677001953125
209,43924.3359375,991.3172607421875
210,43924.3359375,991.3172607421875
211,43931.26171875,991.6575317382812
212,43939.6640625,992.098388671875
213,43954.48046875,992.7911376953125
214,43967.10546875,993.4883422851562
215,44057.2421875,998.21533203125
216,44057.2421875,998.21533203125
217,44062.65625,998.5132446289062
218,44070.2109375,998.8973388671875
219,44083.03515625,999.5595092773438
220,44097.25,1000.21630859375
221,44188.19921875,1005.0477905273438
222,44188.19921875,1005.0477905273438
223,44193.1953125,1005.3588256835938
224,44200.640625,1005.838134765625
225,44213.48828125,1006.535400390625
226,44229.859375,1007.3206787109375
227,44322.05078125,1012.1034545898438
228,44322.05078125,1012.1034545898438
229,44327.0703125,1012.3956298828125
230,44335.0390625,1012.7847900390625
231,44350.65625,1013.4951782226562
232,44367.03125,1014.2138671875
233,44457.12109375,1019.16357421875
234,44457.12109375,1019.16357421875
235,44462.73828125,1019.456298828125
236,44470.81640625,1019.8748168945312
237,44483.26953125,1020.565673828125
238,44498.30859375,1021.324951171875
239,44598.328125,1026.430419921875
240,44598.328125,1026.430419921875
241,44604.203125,1026.72119140625
242,44612.859375,1027.143310546875
243,44627.64453125,1027.8438720703125
244,44641.1875,1028.6658935546875
245,44738.328125,1033.7130126953125
246,44738.328125,1033.7130126953125
247,44745.15234375,1034.0545654296875
248,44753.2890625,1034.5517578125
249,44766.02734375,1035.300537109375
250,44779.671875,1036.02392578125
251,44883.546875,1041.29833984375
252,44883.546875,1041.29833984375
253,44889.93359375,1041.6112060546875
254,44898.1484375,1042.03271484375
