,model1_fc1,model1_fc2,model2_fc1,model2_fc2,model2_wa1,model2_wa2
78,37297.81640625,654.3805541992188,37297.9296875,654.3665771484375,38067.1875,680.3316650390625
79,37524.3671875,664.6405029296875,37620.0703125,659.1864013671875,37609.5859375,667.7733154296875
80,37748.78125,673.7440795898438,37615.53125,661.7355346679688,37610.6640625,663.6715087890625
81,37877.734375,677.1190795898438,37616.5625,663.6859130859375,37616.55078125,663.7080688476562
82,37958.48046875,678.2127075195312,37619.15234375,664.8760375976562,37619.4375,664.834228515625
83,38067.1875,680.3316650390625,37622.72265625,666.4464721679688,37623.109375,666.500244140625
84,37623.109375,666.500244140625,37622.72265625,666.4464721679688,38421.73828125,692.2683715820312
85,37872.6328125,676.9884033203125,37954.46875,670.3010864257812,37941.390625,680.0576171875
86,38113.77734375,686.3577880859375,37946.67578125,673.2424926757812,37945.08984375,675.1441650390625
87,38240.15625,689.4830322265625,37949.11328125,675.1552734375,37949.0625,675.0811157226562
88,38314.6875,690.272216796875,37951.53125,676.3001708984375,37951.84375,676.2898559570312
89,38421.73828125,692.2683715820312,37955.015625,677.860107421875,37955.7421875,677.919677734375
90,37955.7421875,677.919677734375,37955.015625,677.860107421875,38710.74609375,702.0756225585938
91,38195.60546875,687.7352905273438,38270.859375,681.4591674804688,38259.6328125,690.5751953125
92,38419.515625,696.6566162109375,38264.8203125,684.6467895507812,38261.171875,686.616943359375
93,38533.9140625,699.573974609375,38265.9765625,686.6456298828125,38265.4296875,686.682373046875
94,38610.22265625,700.4517822265625,38267.69921875,687.6410522460938,38267.83203125,687.5601806640625
95,38710.74609375,702.0756225585938,38270.8828125,689.1109008789062,38271.01953125,689.1212768554688
96,38271.01953125,689.1212768554688,38270.8828125,689.1109008789062,39066.34375,714.14208984375
97,38514.90625,699.043212890625,38597.0546875,692.3772583007812,38593.8046875,702.6717529296875
98,38766.9453125,708.0765380859375,38592.7421875,695.2225341796875,38589.79296875,697.9848022460938
99,38896.015625,711.398193359375,38593.53125,697.1973876953125,38593.390625,697.2816162109375
100,38957.73046875,712.4439697265625,38595.26171875,698.17626953125,38595.49609375,698.2182006835938
101,39066.34375,714.14208984375,38597.78125,699.409912109375,38598.26171875,699.4575805664062
102,38598.26171875,699.4575805664062,38597.78125,699.409912109375,39344.2421875,723.1676025390625
103,38839.1640625,709.162841796875,38900.984375,702.5559692382812,38900.8515625,712.4928588867188
104,39054.45703125,718.008056640625,38898.91796875,705.0272827148438,38894.3515625,707.9275512695312
105,39170.42578125,720.5511474609375,38898.453125,707.0860595703125,38898.3359375,707.1397705078125
106,39243.30078125,721.7257080078125,38899.94921875,707.9781494140625,38900.20703125,707.8876953125
107,39344.2421875,723.1676025390625,38902.41015625,709.2698364257812,38902.83203125,709.3001708984375
108,38902.83203125,709.3001708984375,38902.41015625,709.2698364257812,39680.0625,733.781982421875
109,39148.68359375,719.1826782226562,39218.140625,712.3978271484375,39216.6640625,722.799072265625
110,39381.1015625,728.0077514648438,39214.16015625,715.1217041015625,39211.87890625,718.370361328125
111,39507.46875,731.116943359375,39214.9609375,717.0744018554688,39214.2109375,717.1531982421875
112,39574.953125,732.0291748046875,39216.1953125,717.87060546875,39216.0859375,717.8935546875
113,39680.0625,733.781982421875,39218.4140625,719.08154296875,39218.91015625,719.0796508789062
114,39218.91015625,719.0796508789062,39218.4140625,719.08154296875,39956.93359375,742.330322265625
115,39456.484375,728.3363037109375,39523.32421875,722.2296142578125,39515.5703125,731.4073486328125
116,39680.4375,736.997314453125,39517.390625,724.6673583984375,39513.3984375,727.354736328125
117,39802.21484375,739.9002685546875,39517.1953125,726.5725708007812,39517.20703125,726.4619140625
118,39866.734375,740.826416015625,39518.828125,727.402099609375,39519.0,727.4130859375
119,39956.93359375,742.330322265625,39521.2265625,728.5737915039062,39521.3125,728.617431640625
120,39521.3125,728.617431640625,39521.2265625,728.5737915039062,40292.33984375,751.2003784179688
121,39756.46875,737.5684814453125,39842.7109375,731.78662109375,39835.9765625,740.3692016601562
122,39986.515625,746.212646484375,39837.30078125,734.205078125,39835.6484375,736.2801513671875
123,40128.9921875,748.6846923828125,39837.90234375,735.9664306640625,39837.953125,735.833984375
124,40204.7421875,749.7440795898438,39839.5703125,736.7826538085938,39839.4453125,736.76708984375
125,40292.33984375,751.2003784179688,39841.78125,737.865478515625,39842.09375,737.8846435546875
126,39842.09375,737.8846435546875,39841.78125,737.865478515625,40594.2109375,760.3301391601562
127,40082.7421875,747.189453125,40144.4140625,740.7313842773438,40153.94921875,749.812744140625
128,40311.7421875,755.7889404296875,40145.6484375,743.3802490234375,40141.28515625,745.6361083984375
129,40443.15625,758.0979614257812,40144.625,744.9749755859375,40144.78125,745.1861572265625
130,40510.4296875,758.9476318359375,40146.0078125,745.8401489257812,40146.2265625,745.76806640625
131,40594.2109375,760.3301391601562,40148.08203125,746.87060546875,40148.6171875,746.8292236328125
